alias,project_id,sample_id
DC230,PRJNA834801,SAMN28061799
DC164,PRJNA834801,SAMN28061748
DC163,PRJNA834801,SAMN28061747
DC167,PRJNA834801,SAMN28061750
DC160,PRJNA834801,SAMN28061744
DC106,PRJNA834801,SAMN28061703
DC105,PRJNA834801,SAMN28061702
DC011,PRJNA834801,SAMN28061632
SP1113,PRJNA834801,SAMN28062347
DP639,PRJNA834801,SAMN28062340
DP638,PRJNA834801,SAMN28062339
DP637,PRJNA834801,SAMN28062338
DP585,PRJNA834801,SAMN28062300
DP582,PRJNA834801,SAMN28062299
DP579,PRJNA834801,SAMN28062296
DP578,PRJNA834801,SAMN28062295
DP574,PRJNA834801,SAMN28062292
DP571,PRJNA834801,SAMN28062290
DP566,PRJNA834801,SAMN28062285
DC092,PRJNA834801,SAMN28061690
DP563,PRJNA834801,SAMN28062283
DP486,PRJNA834801,SAMN28062226
DP485,PRJNA834801,SAMN28062225
DP478,PRJNA834801,SAMN28062222
DP476,PRJNA834801,SAMN28062220
DP354,PRJNA834801,SAMN28062130
DP352,PRJNA834801,SAMN28062128
DP341,PRJNA834801,SAMN28062119
DP340,PRJNA834801,SAMN28062118
DP284,PRJNA834801,SAMN28062076
DP282,PRJNA834801,SAMN28062075
DC064,PRJNA834801,SAMN28061669
DP281,PRJNA834801,SAMN28062074
DP277,PRJNA834801,SAMN28062070
DP276,PRJNA834801,SAMN28062069
DC063,PRJNA834801,SAMN28061668
DP236,PRJNA834801,SAMN28062038
DC058,PRJNA834801,SAMN28061665
DP225,PRJNA834801,SAMN28062033
DP208,PRJNA834801,SAMN28062023
DP181,PRJNA834801,SAMN28062001
DP180,PRJNA834801,SAMN28062000
DP184,PRJNA834801,SAMN28062003
DP171,PRJNA834801,SAMN28061993
DP170,PRJNA834801,SAMN28061992
DP167,PRJNA834801,SAMN28061990
DP162,PRJNA834801,SAMN28061986
DC050,PRJNA834801,SAMN28061660
DP159,PRJNA834801,SAMN28061983
DP152,PRJNA834801,SAMN28061976
DP147,PRJNA834801,SAMN28061971
DP139,PRJNA834801,SAMN28061967
DP144,PRJNA834801,SAMN28061969
DP035,PRJNA834801,SAMN28061886
DC035,PRJNA834801,SAMN28061650
DP027,PRJNA834801,SAMN28061880
DP026,PRJNA834801,SAMN28061879
DP029,PRJNA834801,SAMN28061882
DP022,PRJNA834801,SAMN28061876
DP019,PRJNA834801,SAMN28061873
DP012,PRJNA834801,SAMN28061868
DP011,PRJNA834801,SAMN28061867
DP007,PRJNA834801,SAMN28061864
DP003,PRJNA834801,SAMN28061860
DP002,PRJNA834801,SAMN28061859
DP001,PRJNA834801,SAMN28061858
SC0637,PRJNA834801,SAMN28061856
DC032,PRJNA834801,SAMN28061647
DC305,PRJNA834801,SAMN28061849
DC302,PRJNA834801,SAMN28061848
